,Equipe_D,Equipe_E,Cote_D,Cote_N,Cote_E,Score_D,Score_E,Saison,Winner_D,Winner_E,Elo_D_Before,Elo_D,Elo_E_Before,Elo_E,Diff_Victoire,Diff_Nul,Diff_Defaite,Diff_But,Diff_Encaisse,Diff_Moyenne_cote,Diff_Elo_Before,Points_a,Points_b,Diff_Points,PCA1,PCA2,PCA3
839,Lyon,Reims,1.4,4.98,7.8,3,0,2020-2021,1,0,1606.064238191129,1613.3599892918264,1509.7126444111484,1502.416893310451,2,0,-2,0,-4,-1.0300000000000007,96.3515937799807,20,9,11,0.9568267378394311,-0.014139366404445828,-0.9481626413711624
840,Paris SG,Bordeaux,1.2,7.59,13.74,2,2,2020-2021,0,0,1736.572449822549,1731.0677327250307,1521.489722643533,1526.9944397410513,2,0,-2,12,-6,-1.9160000000000001,215.08272717901605,24,15,9,1.0035198940164365,2.9700121886427064,-0.021583809487751224
841,Marseille,Nantes,1.97,3.39,4.13,3,1,2020-2021,1,0,1647.5240959353566,1653.7692293573582,1510.35823155456,1504.1130981325584,1,0,-1,0,-3,-0.6960000000000002,137.16586438079662,18,13,5,0.4656240485946049,0.15274321208937316,-0.7384440431302435
842,Strasbourg,Rennes,3.1,3.22,2.44,1,1,2020-2021,0,0,1463.8343469785518,1467.1669834828497,1584.2191093453473,1580.8864728410495,0,-1,1,5,2,0.6420000000000003,-120.38476236679548,6,18,-12,-0.8614173814739376,1.7072661581647575,0.9643822251321146
843,Lens,Nantes,2.26,3.28,3.35,1,1,2020-2021,0,0,1502.5116964901167,1502.74418765472,1510.5907227191633,1510.35823155456,0,1,-1,1,2,-1.0679999999999996,-8.079026229046576,17,12,5,0.4225234413506193,-0.15820605479501318,0.5528602494720674
844,Lille,Lorient,1.62,3.91,5.76,4,0,2020-2021,1,0,1623.2761595165578,1628.4578523723226,1440.745389254565,1435.5636963988002,1,1,-2,7,-2,-0.8079999999999998,182.53077026199276,19,8,11,1.0290085906920354,1.2629895426083149,0.35663377260599116
845,Angers,Lyon,4.15,3.82,1.85,0,1,2020-2021,0,1,1537.5803396509807,1529.2958852900254,1597.7797838301738,1606.064238191129,-1,-1,2,-2,6,5.08,-60.19944417919305,16,17,-1,-0.19294209182797234,-1.1616464714354258,1.365899415027412
846,Dijon,Lens,4.34,3.74,1.83,0,1,2020-2021,0,1,1442.012113961134,1433.4972890014765,1493.9968715304592,1502.5116964901167,-2,1,1,-7,-1,5.543999999999999,-51.98475756932521,4,14,-10,-0.8965451067939088,-1.0582633617657562,-1.1525626006438778
847,Montpellier,Strasbourg,1.93,3.35,4.39,4,3,2020-2021,1,0,1560.7653698897964,1568.2462028698349,1471.3151799585903,1463.8343469785518,1,1,-2,-2,-3,-0.7699999999999996,89.45018993120607,17,6,11,0.9080954984037389,-0.631433364454836,-0.9704545376065689
848,Reims,Nimes,1.83,3.65,4.46,0,1,2020-2021,0,1,1521.4574502489195,1509.7126444111484,1460.2100305707402,1471.9548364085113,1,2,-3,11,-2,-1.2759999999999998,61.24741967817931,9,8,1,0.3183083857778175,2.87038102997711,0.6021191051749846
